id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,availability_365,city,neighbourhood_group,price_category,availability_category,review_activity,host_listing_count_x,host_type,host_listing_count_y,host_listing_count
1213012288840534224,Nitey Nite Inn - Room #4,5649317,Scott,Unknown,29.97183,-90.05852,Private room,71.35,30.0,4,2025-11-17,0.26,364,New Orleans,Other,Economy ($50-100),Always Available (271-365),Occasional,7,Professional (4+ listings),7,7
1213046222225938614,Nitey Nite Inn - Room #5,5649317,Scott,Unknown,29.971808887854596,-90.05739711292078,Private room,84.5,2.0,11,2026-05-25,0.69,360,New Orleans,Other,Economy ($50-100),Always Available (271-365),Occasional,7,Professional (4+ listings),7,7
1213140793643575604,The Pink Cowboy Room,590865143,Mowgli,Unknown,29.96832244565914,-90.05489438095093,Private room,85.0,1.0,76,2026-05-17,3.4,170,New Orleans,Other,Economy ($50-100),Medium (91-180 days),Highly Active,6,Professional (4+ listings),6,6
1213190333970518197,Nitey Nite Inn - Room #6,5649317,Scott,Unknown,29.97325,-90.0584,Private room,96.5,2.0,10,2026-04-21,0.65,358,New Orleans,Other,Economy ($50-100),Always Available (271-365),Occasional,7,Professional (4+ listings),7,7
1213715328211426146,Charming 3-Bed Algiers Pt Gem- Steps from FQ ferry,8116233,James,Unknown,29.9495976,-90.0490633,Entire home/apt,257.0,2.0,23,2026-05-17,1.15,176,New Orleans,Other,Luxury ($250+),Medium (91-180 days),Regular,1,Casual (1 listing),1,1
1213764086071750044,"Updated 3BR | Backyard Patio, Near Canal Streetcar",349162641,David,Unknown,29.971,-90.09434,Entire home/apt,246.0,2.0,108,2026-06-10,4.78,300,New Orleans,Other,Premium ($150-250),Always Available (271-365),Highly Active,68,Professional (4+ listings),68,68
1213819421697801812,Luxury Executive | Walk 2 Dome | Parking | Pool,593566182,Empire Orleans & The Garden,Unknown,29.95708921806428,-90.09010335251436,Private room,154.0,1.0,10,2026-06-06,1.14,218,New Orleans,Other,Premium ($150-250),High (181-270 days),Regular,10,Professional (4+ listings),10,10
1213880785388982931,Stylish Hotel Suite | Walk 2 Dome | Parking | Pool,593566182,Empire Orleans & The Garden,Unknown,29.955783745505865,-90.0902630933233,Private room,154.0,1.0,4,2026-06-14,0.48,222,New Orleans,Other,Premium ($150-250),High (181-270 days),Occasional,10,Professional (4+ listings),10,10
1213888076436675143,King Hotel Suite | Walk to Dome | Parking | Pool,593566182,Empire Orleans & The Garden,Unknown,29.95647,-90.09033,Private room,154.0,1.0,2,2025-08-25,0.12,214,New Orleans,Other,Premium ($150-250),High (181-270 days),Occasional,10,Professional (4+ listings),10,10
1213891815747825783,Swanky Hotel Suite | Walk to Dome | Parking | Pool,593566182,Empire Orleans & The Garden,Unknown,29.95673774163229,-90.08845603988044,Private room,154.0,1.0,1,2026-02-15,0.24,215,New Orleans,Other,Premium ($150-250),High (181-270 days),Occasional,10,Professional (4+ listings),10,10
1213942076687637960,Quiet Cottage 1/2 block from Magazine St.,76108654,Andrew,Unknown,29.92144206920662,-90.10704415021344,Entire home/apt,46.73,30.0,1,2026-01-05,0.18,87,New Orleans,Other,Budget (< $50),Low (0-90 days),Occasional,1,Casual (1 listing),1,1
1215181580371720260,Nola Center of Art and Beauty,593916994,J,Unknown,29.94353,-90.07973,Entire home/apt,183.63,30.0,9,2025-04-13,0.44,229,New Orleans,Other,Premium ($150-250),High (181-270 days),Occasional,2,Growing (2-3 listings),2,2
1218289988477077882,4BR/4BA | 3 Hotel Suites | Pool | Parking | 7TVs,593566182,Empire Orleans & The Garden,Unknown,29.95548073928232,-90.08835611810812,Private room,463.0,1.0,6,2026-05-10,0.3,183,New Orleans,Other,Luxury ($250+),High (181-270 days),Occasional,10,Professional (4+ listings),10,10
1218303714234948633,5BR/5BA | 4 Hotel Suites | Pool | Parking | 9TVs,593566182,Empire Orleans & The Garden,Unknown,29.957023732141163,-90.09031104693364,Private room,638.0,1.0,3,2026-05-17,0.38,178,New Orleans,Other,Luxury ($250+),Medium (91-180 days),Occasional,10,Professional (4+ listings),10,10
1218307127095895933,Luxury Suite | Rooftop Pool Walk-French Qtr Hotel,545764469,New Orleans Luxury Collection,Unknown,29.946067749659868,-90.07471426554338,Private room,230.5,2.0,34,2026-05-15,1.72,306,New Orleans,Other,Premium ($150-250),Always Available (271-365),Regular,60,Professional (4+ listings),60,60
1218307147419140882,LUXE 2BR/2BA Steps from Superdome Hotel,545764469,New Orleans Luxury Collection,Unknown,29.94417,-90.07306,Private room,265.5,2.0,8,2026-06-15,0.92,339,New Orleans,Other,Luxury ($250+),Always Available (271-365),Occasional,60,Professional (4+ listings),60,60
1218307168879982180,Spa Bath | Rooftop Pool | BBQ | Gameroom | Hotel,545764469,New Orleans Luxury Collection,Unknown,29.94596,-90.07326,Private room,288.0,2.0,30,2026-06-08,1.45,326,New Orleans,Other,Luxury ($250+),Always Available (271-365),Regular,60,Professional (4+ listings),60,60
1218307236732018851,Heated Pool | Kid Friendly | Historic | Hotel,545764469,New Orleans Luxury Collection,Unknown,29.943996448665324,-90.07346263870674,Private room,191.0,2.0,14,2026-06-01,0.69,357,New Orleans,Other,Premium ($150-250),Always Available (271-365),Occasional,60,Professional (4+ listings),60,60
1218307257989795830,Historic Building with Rooftop Pool – Hotel,545764469,New Orleans Luxury Collection,Unknown,29.944619733079094,-90.07302925202728,Private room,265.5,2.0,54,2026-05-31,2.53,333,New Orleans,Other,Luxury ($250+),Always Available (271-365),Regular,60,Professional (4+ listings),60,60
1218369425048423890,6BR/6BA | 5 Suite Block | Pool | Parking | 11TVs,593566182,Empire Orleans & The Garden,Unknown,29.957214150202585,-90.08888914763718,Private room,797.0,1.0,1,2025-02-03,0.06,173,New Orleans,Other,Luxury ($250+),Medium (91-180 days),Occasional,10,Professional (4+ listings),10,10
1218385504919963704,Entire Hotel 7BR/7BA | Pool | Park | Steps 2 Dome,593566182,Empire Orleans & The Garden,Unknown,29.955289740807636,-90.088730724028,Private room,1083.0,1.0,8,2026-02-08,0.43,295,New Orleans,Other,Luxury ($250+),Always Available (271-365),Occasional,10,Professional (4+ listings),10,10
1218789565124041710,NOLA Shotgun w/ Outdoor Space | Near Fair Grounds,349162641,David,Unknown,29.975902196169667,-90.0836611024602,Entire home/apt,198.5,2.0,71,2026-06-10,3.25,318,New Orleans,Other,Premium ($150-250),Always Available (271-365),Highly Active,68,Professional (4+ listings),68,68
